remi_industry,naics,industry
"Forestry, fishing, and hunting",11,11
Mining,21,21
Utilities,22,22
Construction,23,23
Manufacturing,"31,32,33",3133
Wholesale trade,42,42
Retail trade,"44,45",4445
Transportation and warehousing,"48,49",4849
Information,51,51
Finance and insurance,52,52
Real estate and rental and leasing,53,53
"Professional, scientific, and technical services",54,54
Management of companies and enterprises,55,55
"Administrative, support, waste management, and remediation services",56,56
Educational services; private,61,61
Health care and social assistance,62,62
"Arts, entertainment, and recreation",71,71
Accommodation and food services,72,72
Other services (except public administration),81,81
State and Local Government,92,92
Federal Civilian,92,92
Federal Military,92,92
Farm,11,11
